day_group,phase,start_time,end_time,category,task,locked,priority,subject,trackable,status,completion_percent,last_completed
MWF,Morning,05:15,05:20,Wakeup,Wake Up,TRUE,Fixed,None,FALSE,Pending,0,
MWF,Morning,05:20,05:40,Health,Water + Light Mobility,TRUE,Fixed,None,FALSE,Pending,0,
MWF,Morning,05:40,06:25,Workout,Workout Session,TRUE,Fixed,Fitness,TRUE,Pending,0,
MWF,Morning,06:45,07:10,Diet,High Protein Breakfast,TRUE,Fixed,Diet,TRUE,Pending,0,
MWF,Morning,07:10,08:40,Study,Physics Study Block,FALSE,High,Physics,TRUE,Pending,0,
MWF,Morning,08:40,10:10,Study,Maths Study Block,FALSE,High,Maths,TRUE,Pending,0,
MWF,Midday,10:30,12:00,Study,Chemistry Study Block,FALSE,High,Chemistry,TRUE,Pending,0,
MWF,Midday,12:45,14:15,Study,Biology Study Block,FALSE,High,Biology,TRUE,Pending,0,
MWF,Midday,14:15,14:45,Revision,Formula Revision,FALSE,Medium,Mixed,TRUE,Pending,0,
MWF,Evening,18:00,19:00,Homework,Coaching Homework,FALSE,Medium,Coaching,TRUE,Pending,0,
MWF,Evening,19:30,20:00,AI,AI Study,FALSE,Low,AI,TRUE,Pending,0,
MWF,Evening,20:00,20:40,English,English Alternate Day,FALSE,Low,English,TRUE,Pending,0,
MWF,Evening,20:40,21:15,Revision,Whole Day Revision,FALSE,High,Mixed,TRUE,Pending,0,

TTS,Morning,05:30,06:15,Workout,Workout Session,TRUE,Fixed,Fitness,TRUE,Pending,0,
TTS,Morning,07:00,08:30,Study,Physics Study Block,FALSE,High,Physics,TRUE,Pending,0,
TTS,Morning,08:30,10:00,Study,Maths Study Block,FALSE,High,Maths,TRUE,Pending,0,
TTS,Morning,10:20,11:50,Study,Chemistry Study Block,FALSE,High,Chemistry,TRUE,Pending,0,
TTS,Midday,12:30,14:00,Study,Biology Study Block,FALSE,High,Biology,TRUE,Pending,0,
TTS,Midday,14:00,14:45,PYQ,PYQs / Mock Questions,FALSE,High,Mixed,TRUE,Pending,0,
TTS,Midday,15:15,16:00,AI,AI / English Rotation,FALSE,Low,Mixed,TRUE,Pending,0,
TTS,Midday,16:00,16:40,Revision,Revision,FALSE,High,Mixed,TRUE,Pending,0,
TTS,Evening,20:00,21:00,Revision,Coaching Revision,FALSE,High,Coaching,TRUE,Pending,0,

SUNDAY,Morning,07:00,07:40,Workout,Light Cardio + Abs,TRUE,Fixed,Fitness,TRUE,Pending,0,
SUNDAY,Morning,08:15,09:30,Recovery,Weak Subject Recovery,FALSE,Critical,Weak Subject,TRUE,Pending,0,
SUNDAY,Afternoon,13:15,14:30,Test,Weekly Test,FALSE,Critical,Mixed,TRUE,Pending,0,
SUNDAY,Afternoon,14:30,15:15,Analysis,Mistake Analysis,FALSE,Critical,Mixed,TRUE,Pending,0,
SUNDAY,Afternoon,15:15,16:15,Biology,Biology Diagrams / NCERT,FALSE,Medium,Biology,TRUE,Pending,0,
SUNDAY,Evening,20:00,20:45,Planning,Plan Next Week,FALSE,High,Mixed,TRUE,Pending,0,
